pot-code,root,col,unc,colonized,uncolonized,percent-col
1B,1,,,,,
1B,2,,,,,
1B,3,,,,,
1B,4,,,,,
2F,1,15,12,5,29,14.71
2F,2,6,25,6,19,24.00
2F,3,21,13,4,29,12.12
2F,4,,,,,
3B,1,45,11,47,13,78.33
3B,2,4,12,10,3,76.92
3B,3,6,20,8,11,42.11
3B,4,11,5,9,6,60.00
3C,1,5,2,0,6,0.00
3C,2,1,2,0,3,0.00
3C,3,5,2,0,5,0.00
3C,4,,,,,
3E,1,19,9,26,7,78.79
3E,2,6,4,5,4,55.56
3E,3,5,3,4,3,57.14
3E,4,,,,,
4B,1,8,6,6,6,50.00
4B,2,13,5,13,3,81.25
4B,3,3,7,3,6,33.33
4B,4,,,,,
5A,1,10,8,4,18,18.18
5A,2,18,16,17,19,47.22
5A,3,8,7,7,7,50.00
5A,4,,,,,
5C,1,19,16,12,24,33.33
5C,2,5,16,12,6,66.67
5C,3,5,9,12,1,92.31
5C,4,,,,,
6E,1,6,34,8,25,24.24
6E,2,37,14,17,41,29.31
6E,3,22,51,11,46,19.30
6E,4,,,,,
7C,1,3,17,6,14,30.00
7C,2,23,20,13,26,33.33
7C,3,17,9,29,17,63.04
7C,4,,,,,
7D,1,2,5,,,
7D,2,3,13,5,8,38.46
7D,3,7,7,4,7,36.36
7D,4,5,7,6,7,46.15
7E,1,18,20,26,19,57.78
7E,2,18,14,3,22,12.00
7E,3,26,28,25,25,50.00
7E,4,,,,,
7F,1,11,9,7,15,31.82
7F,2,25,2,24,5,82.76
7F,3,12,11,0,20,0.00
7F,4,,,,,
8A,1,8,24,15,19,44.12
8A,2,19,15,0,31,0.00
8A,3,16,2,33,1,97.06
8A,4,,,,,
8B,1,15,15,20,11,64.52
8B,2,0,3,1,4,20.00
8B,3,14,6,7,12,36.84
8B,4,4,11,15,3,83.33
8F,1,4,11,4,9,30.77
8F,2,8,15,8,14,36.36
8F,3,16,12,7,15,31.82
8F,4,4,17,1,14,6.67
9A,1,15,12,20,6,76.92
9A,2,14,17,12,19,38.71
9A,3,47,2,62,7,89.86
9A,4,7,0,7,0,100.00
9B,1,9,11,1,17,5.56
9B,2,24,2,20,6,76.92
9B,3,21,12,6,24,20.00
9B,4,,,,,
