"","pot.code","final.height","stem.dry.bm","root.dry.bm","total.bm","myco.root.mass","nodule.mass","X2022.06.28","X2022.07.05","X2022.07.12","X2022.07.19","X2022.07.25","X2022.08.02","X2022.08.09","X2022.08.23","X2022.08.30","X2022.09.06","species","inoculum","select.date","germ.julian","growth.time","treatment","tray","cell","agb.rate","bgb.rate","total.rate","nod.rate","rs.ratio","bm.rate","rel.nod","rel.root.nod","inoc.type","avg","psf"
"1","1A",35.9,3.28,0.7403,4.0203,NA,0.076,2,2.4,4.3,7.1,10.2,12.9,15.9,24.2,28.5,NA,"MOCE","Forest","2022-06-07",158,97,"away",1,"A",0.0338144329896907,0.0076319587628866,0.0414463917525773,0.000783505154639175,0.225701219512195,0.0414463917525773,0.0189040618859289,0.10266108334459,"Inoculated",0.032241997610687,0.285478407790694
"2","1B",20.4,0.81,0.2705,1.0805,NA,NA,5.4,6.2,6.6,7,8.6,10.6,12.6,15.7,17.5,NA,"PITA","Forest","2022-06-09",160,95,"home",1,"B",0.00852631578947368,0.00284736842105263,0.0113736842105263,NA,0.333950617283951,0.0113736842105263,NA,NA,"Inoculated",0.0229345245140767,-0.504080226143542
"3","1C",9.5,0.15,0.0445,0.1945,NA,NA,0.7,0.7,1.6,2.2,2.7,3.8,5.1,6.7,7.5,NA,"ILGL","Forest","2022-06-20",171,84,"away",1,"C",0.00178571428571429,0.000529761904761905,0.00231547619047619,NA,0.296666666666667,0.00231547619047619,NA,NA,"Inoculated",0.0119184822773911,-0.805723905394519
"4","1D",53.3,4.25,0.5551,4.8051,NA,0.0663,3.3,5,6.7,11.3,15.4,19.1,22.2,33.5,39.5,NA,"MOCE","Forest","2022-06-13",164,91,"away",1,"D",0.0467032967032967,0.0061,0.0528032967032967,0.000728571428571429,0.130611764705882,0.0528032967032967,0.0137978397952176,0.11943793911007,"Inoculated",0.032241997610687,0.637717902621343
"5","1E",32.7,1.71,0.2971,2.0071,NA,NA,1.3,1.8,3.4,5.5,7.8,12.6,14.4,18.2,24.5,NA,"ILGL","Forest","2022-06-15",166,89,"away",1,"E",0.0192134831460674,0.00333820224719101,0.0225516853932584,NA,0.17374269005848,0.0225516853932584,NA,NA,"Inoculated",0.0119184822773911,0.89216083628685
"6","1F",20.3,0.58,0.1909,0.7709,NA,NA,1.1,1.7,2.5,3.5,5,8.3,11.1,16.1,17.4,NA,"ILGL","Forest","2022-06-17",168,87,"away",1,"F",0.00666666666666667,0.00219425287356322,0.00886091954022988,NA,0.329137931034483,0.00886091954022989,NA,NA,"Inoculated",0.0119184822773911,-0.256539605127519
"7","2A",45.9,1.83,0.2822,2.1122,NA,NA,1.6,1.7,3,4.9,7.5,12,16.7,28.1,33.2,NA,"ILGL","Shrub","2022-06-15",166,89,"home",2,"A",0.020561797752809,0.00317078651685393,0.0237325842696629,NA,0.154207650273224,0.0237325842696629,NA,NA,"Inoculated",0.0119184822773911,0.991242149571563
"8","2B",21.7,0.6,0.2332,0.8332,NA,NA,1.8,2.8,4,5.4,7.6,11.4,13.8,16.6,17,NA,"ILGL","Shrub","2022-06-14",165,90,"home",2,"B",0.00666666666666667,0.00259111111111111,0.00925777777777778,NA,0.388666666666667,0.00925777777777778,NA,NA,"Inoculated",0.0119184822773911,-0.223241889167433
"9","2C",32.4,2.54,0.2815,2.8215,NA,0.0574,3.1,3.3,5.7,7.6,10.1,11.9,14.1,19.7,23.5,NA,"MOCE","Shrub","2022-06-08",159,96,"home",2,"C",0.0264583333333333,0.00293229166666667,0.029390625,0.000597916666666667,0.110826771653543,0.029390625,0.0203437887648414,0.203907637655417,"Inoculated",0.032241997610687,-0.0884365989079382
"10","2D",20.6,0.69,0.2376,0.9276,NA,NA,1.1,1.2,2.1,3,4.3,6.4,8.2,14,16,NA,"ILGL","Shrub","2022-06-15",166,89,"home",2,"D",0.00775280898876404,0.00266966292134831,0.0104224719101124,NA,0.344347826086957,0.0104224719101124,NA,NA,"Inoculated",0.0119184822773911,-0.12552020739391
"11","2E",47.8,2.79,0.5988,3.3888,NA,NA,1.3,1.6,3.5,6,8.4,14.2,18.9,31.7,37.2,NA,"ILGL","Shrub","2022-06-14",165,90,"home",2,"E",0.031,0.00665333333333333,0.0376533333333333,NA,0.214623655913979,0.0376533333333333,NA,NA,"Inoculated",0.0119184822773911,2.15923894141791
"12","2F",31.3,2.06,0.4245,2.4845,NA,NA,7.4,7.6,9.3,11.2,12.5,15.3,18.6,25.2,27.6,NA,"PITA","Shrub","2022-06-14",165,90,"away",2,"F",0.0228888888888889,0.00471666666666667,0.0276055555555556,NA,0.206067961165049,0.0276055555555556,NA,NA,"Inoculated",0.0229345245140767,0.203668100405215
"13","3A",20.3,0.37,0.0575,0.4275,NA,0.0129,1,1.3,2.6,3.6,5.4,6.6,7.7,12.9,15.2,NA,"MOCE","Sterile","2022-06-22",173,82,"sterile",3,"A",0.00451219512195122,0.000701219512195122,0.00521341463414634,0.000157317073170732,0.155405405405405,0.00521341463414634,0.0301754385964912,0.224347826086957,"Uninoculated",0.032241997610687,-0.838303609562384
"14","3B",26.1,1.4,0.4882,1.8882,NA,NA,6,7,8.5,11,13.5,16.1,18.1,22.6,23.8,NA,"PITA","Sterile","2022-06-11",162,93,"sterile",3,"B",0.0150537634408602,0.0052494623655914,0.0203032258064516,NA,0.348714285714286,0.0203032258064516,NA,NA,"Uninoculated",0.0229345245140767,-0.114730903010876
"15","3C",3.6,0.05,0.0434,0.0934,NA,NA,3.5,3.5,3.5,3.5,4,3.6,3.6,3.6,3.6,NA,"PITA","Sterile","2022-06-13",164,91,"sterile",3,"C",0.000549450549450549,0.000476923076923077,0.00102637362637363,NA,0.868,0.00102637362637363,NA,NA,"Uninoculated",0.0229345245140767,-0.955247660541484
"16","3D",5.5,0.08,0.0503,0.1303,NA,NA,1.5,1.8,2.7,3.9,4.2,4.8,5.1,5.3,5.4,NA,"ILGL","Sterile","2022-06-16",167,88,"sterile",3,"D",0.000909090909090909,0.000571590909090909,0.00148068181818182,NA,0.62875,0.00148068181818182,NA,NA,"Uninoculated",0.0119184822773911,-0.87576590846717
"17","3E",31.6,1.96,0.3934,2.3534,NA,NA,6.6,7.9,9.6,12.4,14.4,17.8,21,27.5,30.6,NA,"PITA","Sterile","2022-06-10",161,94,"sterile",3,"E",0.0208510638297872,0.00418510638297872,0.025036170212766,NA,0.200714285714286,0.025036170212766,NA,NA,"Uninoculated",0.0229345245140767,0.0916367678518605
"18","3F",3.5,0.03,0.0104,0.0404,NA,NA,0.6,0.6,1,1.5,2.2,2.6,2.8,2.8,2.8,NA,"ILGL","Sterile","2022-06-20",171,84,"sterile",3,"F",0.000357142857142857,0.000123809523809524,0.000480952380952381,NA,0.346666666666667,0.000480952380952381,NA,NA,"Uninoculated",0.0119184822773911,-0.959646507855725
