tray,cell,pot-code,species,inoculum,treatment,plant-month,plant-day,plant-date,notes
1,C,1C,ILGL,Forest,away,5,31,2022-05-31,
1,E,1E,ILGL,Forest,away,5,31,2022-05-31,
1,F,1F,ILGL,Forest,away,5,31,2022-05-31,
4,E,4E,ILGL,Forest,away,5,31,2022-05-31,
4,F,4F,ILGL,Forest,away,5,31,2022-05-31,
7,B,7B,ILGL,Forest,away,5,31,2022-05-31,"one seed from sphagnum, two from pt+hp"
2,A,2A,ILGL,Shrub,home,5,31,2022-05-31,
2,B,2B,ILGL,Shrub,home,5,31,2022-05-31,
2,D,2D,ILGL,Shrub,home,5,31,2022-05-31,
2,E,2E,ILGL,Shrub,home,5,31,2022-05-31,
5,E,5E,ILGL,Shrub,home,6,1,2022-06-01,
5,F,5F,ILGL,Shrub,home,6,1,2022-06-01,three seeds from pt+hp
3,D,3D,ILGL,Sterile,sterile,5,31,2022-05-31,
3,F,3F,ILGL,Sterile,sterile,5,31,2022-05-31,
6,A,6A,ILGL,Sterile,sterile,5,31,2022-05-31,
6,D,6D,ILGL,Sterile,sterile,5,31,2022-05-31,"couldn't see second seed planted, so planted extra from pt+hp"
6,F,6F,ILGL,Sterile,sterile,5,31,2022-05-31,
9,F,9F,ILGL,Sterile,sterile,5,31,2022-05-31,"one seed from sphagnum, two from pt+hp"
1,A,1A,MYCE,Forest,away,5,31,2022-05-31,
1,D,1D,MYCE,Forest,away,5,31,2022-05-31,
4,A,4A,MYCE,Forest,away,5,31,2022-05-31,
4,C,4C,MYCE,Forest,away,5,31,2022-05-31,
4,D,4D,MYCE,Forest,away,5,31,2022-05-31,
7,A,7A,MYCE,Forest,away,5,31,2022-05-31,
2,C,2C,MYCE,Shrub,home,6,1,2022-06-01,
5,B,5B,MYCE,Shrub,home,6,1,2022-06-01,
5,D,5D,MYCE,Shrub,home,6,1,2022-06-01,
8,C,8C,MYCE,Shrub,home,6,1,2022-06-01,
8,D,8D,MYCE,Shrub,home,6,1,2022-06-01,
8,E,8E,MYCE,Shrub,home,6,1,2022-06-01,
3,A,3A,MYCE,Sterile,sterile,5,31,2022-05-31,
6,B,6B,MYCE,Sterile,sterile,5,31,2022-05-31,
6,C,6C,MYCE,Sterile,sterile,5,31,2022-05-31,
9,C,9C,MYCE,Sterile,sterile,5,31,2022-05-31,
9,D,9D,MYCE,Sterile,sterile,5,31,2022-05-31,
9,E,9E,MYCE,Sterile,sterile,5,31,2022-05-31,
1,B,1B,PITA,Forest,home,5,31,2022-05-31,
4,B,4B,PITA,Forest,home,5,31,2022-05-31,
7,C,7C,PITA,Forest,home,5,31,2022-05-31,
7,D,7D,PITA,Forest,home,6,1,2022-06-01,
7,E,7E,PITA,Forest,home,6,2,2022-06-02,
7,F,7F,PITA,Forest,home,6,2,2022-06-02,
2,F,2F,PITA,Shrub,away,6,1,2022-06-01,
5,A,5A,PITA,Shrub,away,6,1,2022-06-01,
5,C,5C,PITA,Shrub,away,6,1,2022-06-01,
8,A,8A,PITA,Shrub,away,6,1,2022-06-01,
8,B,8B,PITA,Shrub,away,6,1,2022-06-01,
8,F,8F,PITA,Shrub,away,6,1,2022-06-01,
3,B,3B,PITA,Sterile,sterile,5,31,2022-05-31,
3,C,3C,PITA,Sterile,sterile,5,31,2022-05-31,
3,E,3E,PITA,Sterile,sterile,5,31,2022-05-31,
6,E,6E,PITA,Sterile,sterile,6,1,2022-06-01,
9,A,9A,PITA,Sterile,sterile,6,1,2022-06-01,
9,B,9B,PITA,Sterile,sterile,6,2,2022-06-02,
